seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_dmm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
167,3347,80,24.062,0,64.827,372.204,121.433,15.173,1.000,0.000,2,82.335,-2.863,2.624,-0.895,0.184351,29.424,81.061,-2.484,2.773,-0.570,0.572846,3.098,1.323
168,3365,81,24.594,0,55.223,374.606,120.533,25.777,1.000,0.000,2,80.614,0.473,2.484,-0.726,0.184351,29.424,80.270,1.747,2.879,-0.375,0.582049,3.020,1.262
169,3385,76,25.297,0,55.223,376.980,118.734,20.777,1.000,0.000,2,77.827,-2.239,2.584,-0.818,0.184351,29.424,76.863,-1.895,2.940,-0.496,0.544449,3.186,1.451
170,3405,76,22.812,0,55.223,379.301,116.935,20.777,1.000,0.000,2,76.059,-0.073,2.440,-0.693,0.184351,29.424,75.633,0.891,2.916,-0.356,0.588330,3.043,1.253
171,3425,70,22.516,0,48.877,381.595,114.686,21.123,1.000,0.000,2,73.071,-3.765,2.881,-0.859,0.184351,29.424,71.726,-3.340,3.301,-0.541,0.483309,3.594,1.857
172,3445,72,24.148,0,48.877,383.862,114.686,23.123,1.000,0.000,2,71.003,1.222,2.957,-0.681,0.184351,29.424,70.723,2.568,3.667,-0.326,0.502898,3.773,1.876
173,3465,69,23.562,0,39.273,386.047,111.538,29.727,1.000,0.000,2,69.269,-0.330,2.855,-0.736,0.184351,29.424,69.024,-0.050,3.498,-0.404,0.530855,3.661,1.717
174,3485,67,25.438,0,39.273,388.206,109.289,27.727,1.000,0.000,2,67.068,-0.083,2.655,-0.603,0.184351,29.424,66.930,0.162,3.298,-0.276,0.566544,3.374,1.463
175,3507,65,26.555,0,39.273,390.311,104.342,25.727,1.000,0.000,2,63.362,2.008,2.852,-0.412,0.184351,29.424,63.656,2.716,3.704,-0.107,0.505163,3.715,1.839
176,3527,60,24.742,0,39.273,392.308,99.844,20.727,1.000,0.000,2,61.114,-1.365,2.877,-0.429,0.184351,29.424,60.828,-1.659,3.818,-0.178,0.500949,3.850,1.921
177,3545,60,26.828,0,39.273,394.251,97.146,20.727,1.000,0.000,2,59.720,0.344,2.905,-0.396,0.184351,29.424,59.691,0.629,3.834,-0.167,0.508169,3.862,1.899
178,3565,58,26.125,0,39.273,396.113,95.797,18.727,1.000,0.000,2,57.840,0.196,2.552,-0.501,0.184351,29.424,57.902,0.225,3.392,-0.295,0.564944,3.479,1.513
179,3585,58,28.258,0,39.273,397.921,89.050,18.727,1.000,0.000,2,56.417,1.941,2.768,-0.441,0.184351,29.424,57.076,1.879,3.616,-0.183,0.508318,3.649,1.794
180,3605,55,26.148,0,39.273,399.648,89.950,15.727,1.000,0.000,2,55.055,-0.068,2.459,-0.301,0.184351,29.424,55.265,-0.727,3.006,-0.037,0.635704,3.008,1.096
181,3625,53,28.102,0,26.411,401.321,83.654,26.589,1.000,0.000,2,53.312,-0.382,2.346,-0.378,0.184351,29.424,53.246,-0.592,2.887,-0.143,0.583579,2.907,1.211
182,3645,52,26.039,0,26.411,402.940,82.754,25.589,1.000,0.000,2,52.057,-0.070,2.281,-0.421,0.184351,29.424,52.002,-0.005,2.858,-0.174,0.590781,2.889,1.182
183,3665,49,28.469,0,26.411,404.505,79.606,22.589,1.000,0.000,2,50.195,-1.465,2.200,-0.550,0.184351,29.424,49.601,-1.410,2.878,-0.283,0.574083,2.958,1.260
184,3687,45,23.688,0,26.411,406.016,75.558,18.589,1.000,0.000,2,46.942,-2.380,2.226,-0.572,0.184351,29.424,45.764,-1.880,2.688,-0.251,0.593459,2.751,1.119
185,3707,48,21.508,0,26.411,407.474,72.860,21.589,1.000,0.000,2,45.948,2.516,2.368,-0.303,0.184351,29.424,46.273,3.693,3.122,0.057,0.532446,3.125,1.461
186,3725,47,16.789,0,23.324,408.877,70.161,23.676,1.000,0.000,2,45.284,2.104,2.621,-0.221,0.184351,29.424,46.231,1.779,3.127,0.059,0.567938,3.130,1.353
187,3745,49,17.281,0,23.324,410.226,68.812,25.676,1.000,0.000,2,44.846,5.093,3.695,0.145,0.184351,29.424,46.779,4.145,3.680,0.361,0.464096,3.810,2.042
188,3765,45,17.719,0,20.066,411.548,66.113,24.934,1.000,0.000,2,43.796,1.476,3.775,0.223,0.184351,29.424,45.221,-0.456,3.694,0.294,0.515139,3.781,1.833
190,3805,40,19.000,0,20.066,414.058,62.066,19.934,1.000,0.000,2,41.769,-2.169,3.620,0.400,0.184351,29.424,42.114,-4.016,3.805,0.219,0.473555,3.853,2.028
191,3825,41,19.359,0,26.411,415.218,61.166,14.589,1.000,0.000,2,40.879,0.149,3.596,0.424,0.184351,29.424,41.097,-0.197,3.810,0.212,0.508601,3.855,1.894
192,3845,38,21.445,0,26.411,416.325,58.018,11.589,1.000,0.000,2,39.402,-1.718,3.806,0.342,0.184351,29.424,38.996,-1.936,4.030,0.107,0.485877,4.041,2.078
193,3867,36,20.414,0,20.066,417.377,50.372,15.934,1.000,0.000,2,36.610,-0.748,4.482,0.085,0.184351,29.424,35.724,0.551,4.275,-0.108,0.499043,4.287,2.148
194,3887,35,21.797,0,20.066,418.375,49.922,14.934,1.000,0.000,2,35.499,-0.612,4.400,0.123,0.184351,29.424,34.863,0.274,4.153,-0.011,0.498854,4.153,2.081
195,3907,30,23.086,0,20.066,419.293,45.875,9.934,1.000,0.000,2,33.737,-4.581,5.443,-0.123,0.184351,29.424,32.308,-3.945,4.854,-0.240,0.415007,4.911,2.873
196,3925,32,25.219,0,26.411,420.183,46.774,5.589,1.000,0.000,2,32.844,-1.035,5.476,-0.185,0.184351,29.424,31.782,0.394,4.863,-0.231,0.445915,4.917,2.724
197,3945,32,24.227,0,26.411,421.047,41.827,5.589,1.000,0.000,2,32.006,-0.008,5.242,-0.282,0.184351,29.424,31.432,1.055,4.721,-0.272,0.461830,4.796,2.581
198,3965,28,26.750,0,20.066,421.830,41.377,7.934,1.000,0.000,2,30.762,-3.386,5.694,-0.448,0.184351,29.424,29.618,-2.812,5.023,-0.377,0.424421,5.164,2.973
199,3985,26,29.375,0,20.066,422.585,37.779,5.934,1.000,0.000,2,29.267,-4.006,6.294,-0.630,0.184351,29.424,27.698,-2.863,5.316,-0.490,0.407004,5.557,3.295
200,4005,20,32.445,0,20.066,423.287,36.430,0.066,1.000,0.000,2,26.965,-8.539,9.226,-1.053,0.184351,29.424,24.926,-6.969,7.282,-0.838,0.293187,7.985,5.644
201,4025,21,34.242,0,23.153,423.934,34.181,2.153,1.000,0.000,2,25.447,-5.452,10.146,-1.252,0.184351,29.424,23.343,-3.413,7.587,-0.939,0.313497,8.468,5.813
202,4047,18,39.672,0,23.153,424.555,30.583,5.153,1.000,0.000,2,22.300,-5.271,11.742,-1.655,0.184351,29.424,20.130,-3.097,8.056,-1.182,0.312248,9.454,6.502
203,4067,20,41.664,0,16.979,425.176,31.033,3.021,1.000,0.000,2,21.369,-1.679,10.828,-1.865,0.184351,29.424,19.679,0.491,6.981,-1.343,0.344971,8.784,5.754
204,4087,15,40.727,0,16.979,425.796,31.033,1.979,1.000,0.000,2,19.689,-5.749,10.640,-2.258,0.184351,29.424,17.776,-4.058,6.778,-1.634,0.315893,9.449,6.464
205,4105,12,44.930,0,16.979,426.390,30.583,4.979,1.000,0.000,2,17.897,-7.230,8.796,-2.874,0.184351,29.424,15.700,-5.317,5.562,-2.108,0.304086,10.004,6.962
206,4125,8,50.148,0,20.237,427.011,31.033,12.237,1.000,0.000,2,15.567,-9.277,9.610,-3.411,0.184351,29.424,13.314,-7.080,6.552,-2.439,0.249369,12.499,9.382
209,4185,13,50.258,0,23.153,428.792,29.683,10.153,1.000,0.000,2,12.145,1.048,7.811,-3.951,0.184351,29.424,10.773,3.049,6.869,-2.482,0.269393,13.028,9.518
210,4205,14,52.867,0,23.153,429.304,26.985,9.153,1.000,0.000,2,12.157,2.260,9.451,-3.752,0.184351,29.424,11.327,3.632,8.646,-2.203,0.264012,13.500,9.936
211,4227,13,48.742,0,26.411,429.790,25.186,13.411,1.000,0.000,2,11.657,1.646,11.152,-3.401,0.184351,29.424,11.401,2.209,9.551,-1.868,0.275966,13.039,9.441
212,4247,21,43.781,0,26.411,430.195,20.239,5.411,1.000,0.000,2,13.049,9.747,19.138,-2.883,0.184351,29.424,12.995,10.004,16.132,-1.381,0.199857,18.040,14.434
213,4267,26,39.773,0,29.670,430.600,20.239,3.670,1.000,0.000,2,15.107,13.355,31.374,-1.986,0.184351,29.424,14.575,13.410,25.989,-0.514,0.147980,26.252,22.368
214,4285,27,36.695,0,29.670,430.923,14.392,2.670,1.000,0.000,2,17.123,12.109,40.831,-1.329,0.184351,29.424,15.950,12.641,34.225,0.099,0.125895,34.234,29.924
215,4305,25,34.773,0,29.670,431.166,14.842,4.670,1.000,0.000,2,18.333,8.174,45.091,-0.920,0.184351,29.424,16.809,9.346,38.283,0.513,0.123677,38.547,33.779
216,4325,24,35.172,0,68.086,431.409,12.143,44.086,1.000,0.000,2,19.180,5.910,46.903,-0.455,0.184351,29.424,17.507,7.433,39.862,1.026,0.126551,40.914,35.736
217,4345,25,33.438,0,68.086,431.625,10.794,43.086,1.000,0.000,2,20.121,5.982,48.096,0.044,0.184351,29.424,18.319,7.655,41.027,1.551,0.127147,43.434,37.911
218,4365,21,32.320,0,48.877,431.787,8.095,27.877,1.000,0.000,2,20.151,1.041,44.232,0.523,0.184351,29.424,18.556,2.843,37.240,2.042,0.140554,41.410,35.589
219,4385,20,31.164,0,48.877,431.922,7.196,28.877,1.000,0.000,2,20.035,-0.043,42.390,0.794,0.184351,29.424,18.676,1.552,35.702,2.290,0.146583,40.948,34.945
220,4405,22,30.016,0,48.877,432.003,8.095,26.877,1.000,0.000,2,20.265,2.127,40.149,1.190,0.184351,29.424,19.036,3.486,33.853,2.649,0.149793,40.872,34.750
221,4427,24,28.602,0,39.273,432.030,0.000,15.273,1.000,0.000,2,21.161,3.481,37.557,1.802,0.184351,29.424,20.103,4.582,31.902,3.161,0.149492,41.894,35.631
222,4447,27,28.156,0,39.273,432.111,4.048,12.273,1.000,0.000,2,22.171,5.920,35.213,2.386,0.184351,29.424,21.036,6.978,29.720,3.713,0.145420,43.506,37.179
223,4465,29,29.406,0,39.273,432.219,5.397,10.273,1.000,0.000,2,23.364,6.910,31.113,3.093,0.184351,29.424,22.093,8.044,26.135,4.381,0.141339,45.328,38.921
224,4485,25,28.922,0,39.273,432.354,5.397,14.273,1.000,0.000,2,23.578,1.744,23.250,3.644,0.184351,29.424,22.438,3.015,19.406,4.886,0.150223,43.276,36.775
225,4505,23,28.344,0,39.273,432.543,9.445,16.273,1.000,0.000,2,23.317,-0.389,20.178,3.880,0.184351,29.424,22.363,0.751,17.232,5.066,0.152097,42.897,36.372
228,4565,27,26.469,0,20.066,433.028,8.995,6.934,1.000,0.000,2,24.720,2.795,14.930,4.498,0.184351,29.424,23.834,3.721,13.188,5.552,0.149219,44.010,37.443
229,4585,24,26.031,0,20.066,433.109,5.397,3.934,1.000,0.000,2,24.499,-0.612,15.365,4.451,0.184351,29.424,23.767,0.274,13.614,5.508,0.149890,43.947,37.360
230,4607,26,25.422,0,20.066,433.163,3.598,5.934,1.000,0.000,2,24.471,1.875,15.338,3.903,0.184351,29.424,23.966,2.449,14.187,4.984,0.169223,39.024,32.420
231,4627,25,25.367,0,32.928,433.163,0.000,7.928,1.000,0.000,2,24.568,0.529,11.028,3.261,0.184351,29.424,24.189,1.034,11.034,4.365,0.215585,30.087,23.600
232,4645,24,25.680,0,32.928,433.163,0.000,8.928,1.000,0.000,2,24.463,-0.568,7.446,2.628,0.184351,29.424,24.137,-0.189,8.235,3.723,0.275488,22.099,16.011
233,4665,24,25.719,0,32.928,433.163,0.000,8.928,1.000,0.000,2,24.378,-0.463,6.199,2.196,0.184351,29.424,24.095,-0.137,7.174,3.249,0.305145,17.732,12.321
234,4685,27,25.578,0,32.928,433.163,0.000,5.928,1.000,0.000,2,24.861,2.622,5.492,2.031,0.184351,29.424,24.993,2.905,6.253,3.023,0.309253,15.391,10.631
235,4705,23,25.555,0,32.928,433.163,0.000,9.928,1.000,0.000,2,24.518,-1.861,5.315,1.639,0.184351,29.424,24.318,-1.993,6.206,2.540,0.338685,12.660,8.372
236,4725,24,25.609,0,20.066,433.163,0.000,3.934,1.000,0.000,2,24.423,-0.518,5.524,1.561,0.184351,29.424,24.219,-0.318,6.585,2.382,0.312829,12.261,8.425
237,4745,23,25.805,0,20.066,433.163,0.000,2.934,1.000,0.000,2,24.160,-1.423,5.836,1.492,0.184351,29.424,23.856,-1.219,7.180,2.244,0.297647,12.215,8.579
238,4765,26,25.805,0,20.066,433.163,0.000,5.934,1.000,0.000,2,24.500,1.840,5.821,1.478,0.184351,29.424,24.500,2.144,7.099,2.177,0.300206,11.837,8.283
239,4787,25,26.031,0,20.066,433.163,0.000,4.934,1.000,0.000,2,24.366,0.777,5.992,1.177,0.184351,29.424,24.357,0.956,7.355,1.768,0.327074,10.482,7.053
240,4807,24,26.344,0,20.066,433.163,0.000,3.934,1.000,0.000,2,24.299,-0.366,4.887,0.863,0.184351,29.424,24.210,-0.357,6.089,1.401,0.410641,8.053,4.746
241,4827,29,26.156,0,20.066,433.163,0.000,8.934,1.000,0.000,2,25.165,4.701,3.784,0.752,0.184351,29.424,26.578,4.790,4.430,1.239,0.494419,5.965,3.016
242,4845,21,26.680,0,20.066,433.163,0.000,0.934,1.000,0.000,2,24.398,-4.165,4.856,0.457,0.184351,29.424,24.612,-5.578,6.411,0.809,0.352533,7.066,4.575
243,4865,25,26.828,0,42.532,433.163,0.000,17.532,1.000,0.000,2,24.509,0.602,4.819,0.506,0.184351,29.424,24.756,0.388,6.420,0.791,0.370864,7.045,4.432
246,4925,24,26.469,0,42.361,433.163,0.000,18.361,1.000,0.000,2,24.822,-1.008,3.509,0.086,0.184351,29.424,24.810,-1.643,4.402,0.163,0.507081,4.429,2.183
247,4945,24,25.711,0,42.361,433.163,0.000,18.361,1.000,0.000,2,24.670,-0.822,3.526,0.076,0.184351,29.424,24.427,-0.810,4.446,0.109,0.472630,4.458,2.351
248,4967,27,26.211,0,32.757,433.163,0.000,5.757,1.000,0.000,2,24.999,2.453,3.554,0.143,0.184351,29.424,25.516,2.776,4.508,0.140,0.465561,4.527,2.420
249,4987,24,26.414,0,32.757,433.163,0.000,8.757,1.000,0.000,2,24.815,-0.999,3.606,0.067,0.184351,29.424,24.814,-1.516,4.589,0.012,0.463399,4.589,2.462
