seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,436,1.023,0,0.000,0.000,0.000,436.000,1.000,0.000,2,436.000,0.000,0.000,0.000,0.000000,0.000,436.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,25,424,1.031,0,486.202,0.000,0.000,62.202,1.000,0.000,2,429.878,-12.000,0.000,0.000,0.510204,49.000,429.878,-12.000,0.000,0.000,0.510204,49.000,24.000
2,45,418,0.945,0,486.202,0.000,0.000,68.202,1.000,0.000,2,425.654,-11.878,0.000,0.000,0.355616,37.245,425.654,-11.878,0.000,0.000,0.355616,37.245,24.000
3,65,437,1.000,0,486.202,0.000,0.000,49.202,1.000,0.000,2,428.880,11.346,0.000,0.000,0.284325,33.535,428.880,11.346,0.000,0.000,0.284325,33.535,24.000
4,85,428,0.969,0,486.202,0.000,0.000,58.202,1.000,0.000,2,428.663,-0.880,0.000,0.000,0.245848,31.824,428.663,-0.880,0.000,0.000,0.245848,31.824,24.000
5,105,427,1.078,0,486.202,0.000,0.000,59.202,1.000,0.000,2,428.292,-1.663,0.000,0.000,0.223310,30.900,428.292,-1.663,0.000,0.000,0.223310,30.900,24.000
6,127,446,0.977,0,490.318,0.000,0.000,44.318,1.000,0.000,2,430.626,19.235,0.000,0.000,0.200728,30.027,430.626,19.235,0.000,0.000,0.200728,30.027,24.000
7,147,416,1.023,0,490.318,0.000,0.000,74.318,1.000,0.000,2,427.772,-14.626,0.000,0.000,0.195103,29.817,427.772,-14.626,0.000,0.000,0.195103,29.817,24.000
8,167,432,1.078,0,490.318,0.000,0.000,58.318,1.000,0.000,2,428.582,4.228,0.000,0.000,0.191442,29.682,428.582,4.228,0.000,0.000,0.191442,29.682,24.000
10,205,442,0.984,0,490.318,0.000,0.000,48.318,1.000,0.000,2,427.014,18.443,0.000,0.000,0.187460,29.537,427.014,18.443,0.000,0.000,0.187460,29.537,24.000
11,225,428,0.992,0,490.318,0.000,0.000,62.318,1.000,0.000,2,427.198,0.986,0.000,0.000,0.186414,29.499,427.198,0.986,0.000,0.000,0.186414,29.499,24.000
12,245,415,1.078,0,490.318,0.000,0.000,75.318,1.000,0.000,2,424.932,-12.198,0.000,0.000,0.185721,29.474,424.932,-12.198,0.000,0.000,0.185721,29.474,24.000
13,265,439,0.945,0,486.202,0.000,0.000,47.202,1.000,0.000,2,427.539,14.068,0.000,0.000,0.185262,29.457,427.539,14.068,0.000,0.000,0.185262,29.457,24.000
14,285,416,1.039,0,486.202,0.000,0.000,70.202,1.000,0.000,2,425.404,-11.539,0.000,0.000,0.184956,29.446,425.404,-11.539,0.000,0.000,0.184956,29.446,24.000
15,305,403,1.062,0,486.202,0.000,0.000,83.202,1.000,0.000,2,421.265,-22.404,0.000,0.000,0.184754,29.439,421.265,-22.404,0.000,0.000,0.184754,29.439,24.000
16,325,418,1.031,0,490.490,0.000,0.000,72.490,1.000,0.000,2,420.662,-3.265,0.000,0.000,0.184619,29.434,420.662,-3.265,0.000,0.000,0.184619,29.434,24.000
17,347,419,0.945,0,490.490,0.000,0.000,71.490,1.000,0.000,2,423.567,-5.600,0.000,0.000,0.184470,29.429,423.567,-5.600,0.000,0.000,0.184470,29.429,24.000
18,367,436,1.008,0,490.318,0.000,0.000,54.318,1.000,0.000,2,425.860,12.433,185.747,-1.392,0.184430,29.427,423.926,12.433,185.747,-1.392,0.028917,187.685,182.258
19,387,446,1.039,0,490.318,0.000,0.000,44.318,1.000,0.000,2,429.574,20.140,200.721,0.215,0.184404,29.426,424.602,22.074,204.751,0.311,0.030610,204.848,198.578
20,405,404,0.938,0,490.318,0.000,0.000,86.318,1.000,0.000,2,424.858,-25.574,226.193,-0.470,0.184386,29.426,423.936,-20.602,219.001,-0.125,0.032319,219.016,211.938
21,425,459,1.000,0,494.434,0.000,0.000,35.434,1.000,0.000,2,431.153,34.142,277.811,0.670,0.184374,29.425,424.940,35.064,272.927,1.061,0.028643,274.053,266.203
22,445,442,1.000,0,494.434,0.027,1.349,52.434,1.000,0.000,2,433.131,10.874,282.552,1.257,0.184367,29.425,425.424,17.087,284.773,1.959,0.029884,288.612,279.987
23,465,405,0.953,0,484.316,0.027,0.000,79.316,1.000,0.000,2,427.945,-28.131,323.558,-0.066,0.184361,29.425,424.806,-20.424,308.288,1.021,0.030282,309.331,299.964
24,485,450,1.023,0,484.316,0.027,0.000,34.316,1.000,0.000,2,432.011,22.055,343.262,1.401,0.184358,29.425,425.556,25.194,331.411,2.646,0.029796,338.410,328.326
25,505,420,0.961,0,484.316,0.027,0.000,64.316,1.000,0.000,2,429.796,-12.011,333.912,-0.161,0.184356,29.425,425.370,-5.556,319.477,1.406,0.033544,321.453,310.670
26,525,429,1.094,0,484.316,0.027,0.000,55.316,1.000,0.000,2,429.650,-0.796,322.993,0.530,0.184354,29.425,425.503,3.630,306.040,2.319,0.036675,311.417,299.996
27,545,447,1.055,0,484.316,0.027,0.000,37.316,1.000,0.000,2,432.848,17.350,336.024,1.187,0.184353,29.425,426.276,21.497,323.502,3.182,0.035975,333.629,321.627
28,567,431,1.055,0,484.316,0.027,0.000,53.316,1.000,0.000,2,432.681,-2.061,282.978,1.548,0.184352,29.424,426.800,4.401,267.642,4.195,0.045737,285.243,272.197
29,587,419,1.102,0,484.316,0.027,0.000,65.316,1.000,0.000,2,430.159,-13.681,294.020,0.815,0.184352,29.424,426.436,-7.800,274.129,3.756,0.046661,288.237,274.787
30,607,427,1.031,0,484.316,0.027,0.000,57.316,1.000,0.000,2,429.576,-3.159,286.139,1.267,0.184352,29.424,426.464,0.564,261.505,4.394,0.049221,280.813,266.991
31,625,420,1.031,0,484.316,0.027,0.000,64.316,1.000,0.000,2,427.811,-9.576,282.426,0.084,0.184351,29.424,426.129,-6.464,261.667,3.368,0.051799,273.007,258.866
32,645,420,0.938,0,484.316,0.027,0.000,64.316,1.000,0.000,2,426.371,-7.811,278.754,0.271,0.184351,29.424,425.800,-6.129,254.993,3.638,0.053719,268.229,253.820
33,665,421,1.078,0,484.145,0.027,0.000,63.145,1.000,0.000,2,425.381,-5.371,253.912,1.122,0.184351,29.424,425.512,-4.800,223.868,4.518,0.059910,244.283,229.648
37,745,416,1.055,0,484.145,0.027,0.000,68.145,1.000,0.000,2,426.186,-12.488,246.348,0.096,0.184351,29.424,426.068,-10.760,219.220,3.792,0.064284,233.597,218.581
