seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,518,3.516,0,0.000,0.000,0.000,518.000,0.000,0.000,1,518.000,0.000,0.000,0.000,0.000000,0.000,518.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,25,512,3.500,0,486.717,0.000,0.000,25.283,-6.000,0.000,1,514.939,-6.000,0.000,0.000,0.510204,49.000,514.939,-6.000,0.000,0.000,0.510204,49.000,24.000
2,45,508,3.594,0,486.717,0.000,0.000,21.283,-4.000,0.000,1,512.471,-6.939,0.000,0.000,0.355616,37.245,512.471,-6.939,0.000,0.000,0.355616,37.245,24.000
3,65,505,3.586,0,486.717,0.000,0.000,18.283,-3.000,0.000,1,510.347,-7.471,0.000,0.000,0.284325,33.535,510.347,-7.471,0.000,0.000,0.284325,33.535,24.000
4,85,502,3.531,0,486.717,0.000,0.000,15.283,-3.000,0.000,1,508.295,-8.347,0.000,0.000,0.245848,31.824,508.295,-8.347,0.000,0.000,0.245848,31.824,24.000
5,107,519,3.523,0,486.717,0.000,0.000,32.283,-1.000,0.000,1,512.604,8.091,0.000,0.000,0.209471,30.359,512.604,8.091,0.000,0.000,0.209471,30.359,24.000
6,127,511,3.508,0,486.717,0.000,0.000,24.283,-8.000,0.000,1,512.282,-1.604,0.000,0.000,0.200728,30.027,512.282,-1.604,0.000,0.000,0.200728,30.027,24.000
7,147,520,3.508,0,486.717,0.000,0.000,33.283,9.000,0.000,1,513.788,7.718,0.000,0.000,0.195103,29.817,513.788,7.718,0.000,0.000,0.195103,29.817,24.000
8,165,504,3.570,0,500.608,0.000,0.000,3.392,-16.000,0.000,1,511.914,-9.788,0.000,0.000,0.191442,29.682,511.914,-9.788,0.000,0.000,0.191442,29.682,24.000
9,185,518,3.414,0,500.608,0.000,0.000,17.392,14.000,0.000,1,513.064,6.086,0.000,0.000,0.189041,29.595,513.064,6.086,0.000,0.000,0.189041,29.595,24.000
10,205,506,3.648,0,500.608,0.000,0.000,5.392,-12.000,0.000,1,511.740,-7.064,0.000,0.000,0.187460,29.537,511.740,-7.064,0.000,0.000,0.187460,29.537,24.000
11,225,503,3.539,0,496.664,0.000,0.000,6.336,-3.000,0.000,1,510.111,-8.740,0.000,0.000,0.186414,29.499,510.111,-8.740,0.000,0.000,0.186414,29.499,24.000
12,245,510,3.469,0,496.664,0.000,0.000,13.336,7.000,0.000,1,510.090,-0.111,0.000,0.000,0.185721,29.474,510.090,-0.111,0.000,0.000,0.185721,29.474,24.000
13,265,507,3.438,0,496.321,0.000,0.000,10.679,-3.000,0.000,1,509.518,-3.090,0.000,0.000,0.185262,29.457,509.518,-3.090,0.000,0.000,0.185262,29.457,24.000
14,285,510,3.547,0,496.321,0.000,0.000,13.679,3.000,0.000,1,509.607,0.482,0.000,0.000,0.184956,29.446,509.607,0.482,0.000,0.000,0.184956,29.446,24.000
15,305,510,3.578,0,496.321,0.000,0.000,13.679,0.000,0.000,1,509.680,0.393,0.000,0.000,0.184754,29.439,509.680,0.393,0.000,0.000,0.184754,29.439,24.000
16,327,511,3.586,0,500.608,0.000,0.000,10.392,-3.000,0.000,1,510.574,0.523,0.000,0.000,0.184529,29.431,510.574,0.523,0.000,0.000,0.184529,29.431,24.000
17,347,509,3.547,0,500.608,0.000,0.000,8.392,-2.000,0.000,1,510.283,-1.574,0.000,0.000,0.184470,29.429,510.283,-1.574,0.000,0.000,0.184470,29.429,24.000
18,367,515,3.562,0,496.492,0.000,0.000,18.508,6.000,0.000,1,511.153,4.717,38.654,-0.835,0.184430,29.427,510.934,4.717,38.654,-0.835,0.137922,39.350,33.923
19,385,509,3.617,0,496.492,0.000,0.000,12.508,-6.000,0.000,1,510.756,-2.153,37.370,-0.642,0.184404,29.426,510.643,-1.934,37.339,-0.631,0.150481,37.737,32.058
21,425,505,3.500,0,490.661,0.000,0.000,14.339,-19.000,0.000,1,511.687,-8.198,44.605,0.331,0.184374,29.425,511.387,-7.401,44.048,0.387,0.137056,44.198,38.141
22,445,509,3.578,0,490.661,0.000,0.000,18.339,4.000,0.000,1,511.191,-2.687,41.215,0.614,0.184367,29.425,511.024,-2.387,40.530,0.685,0.151890,40.999,34.772
23,465,513,3.562,0,490.490,0.000,0.000,22.510,4.000,0.000,1,511.525,1.809,34.890,0.119,0.184361,29.425,511.385,1.976,34.305,0.199,0.182899,34.344,28.063
24,485,509,3.500,0,490.490,0.000,0.000,18.510,-4.000,0.000,1,511.059,-2.525,31.780,-0.412,0.184358,29.425,510.919,-2.385,31.249,-0.325,0.195585,31.355,25.223
